,time_bucket,time,bytes,host,latency,method,response,url,useragent
0,2025-01-23-05-30,2025-01-23T05:30:59.659Z,4975,28.58.124.110,2320,GET,304,/usr/admin/developer,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749"
1,2025-01-23-05-30,2025-01-23T05:30:59.047Z,5004,5.233.181.227,2327,GET,403,/usr,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1"
2,2025-01-23-05-30,2025-01-23T05:30:58.439Z,4984,124.120.41.142,4992,GET,500,/usr/register,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0"
3,2025-01-23-05-30,2025-01-23T05:30:57.825Z,5016,74.52.115.172,3891,GET,502,/usr/admin/developer,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329"
4,2025-01-23-05-30,2025-01-23T05:30:57.217Z,4951,62.101.70.32,4053,PUT,200,/usr/admin/developer,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
5,2025-01-23-05-30,2025-01-23T05:30:56.611Z,4996,119.200.49.105,4863,POST,303,/usr/login,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0
6,2025-01-23-05-30,2025-01-23T05:30:56.003Z,5039,156.154.145.47,423,GET,303,/usr,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121"
7,2025-01-23-05-30,2025-01-23T05:30:55.396Z,4970,45.237.73.92,4087,GET,303,/usr,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A"
8,2025-01-23-05-30,2025-01-23T05:30:54.788Z,5023,98.252.19.248,3195,DELETE,502,/usr/login,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A"
9,2025-01-23-05-30,2025-01-23T05:30:54.183Z,4877,142.32.208.25,358,POST,200,/usr/admin,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0
10,2025-01-23-05-30,2025-01-23T05:30:53.574Z,5078,199.84.13.191,4674,DELETE,403,/usr/admin/developer,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
11,2025-01-23-05-30,2025-01-23T05:30:52.968Z,4978,50.167.138.252,2231,POST,502,/usr/admin,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749"
12,2025-01-23-05-30,2025-01-23T05:30:52.361Z,5116,57.232.240.104,3793,DELETE,200,/usr/admin/developer,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121"
13,2025-01-23-05-30,2025-01-23T05:30:51.754Z,5010,170.118.128.41,3579,DELETE,304,/usr/admin/developer,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
14,2025-01-23-05-30,2025-01-23T05:30:51.146Z,4936,142.154.35.20,1103,GET,304,/usr/admin,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36"
15,2025-01-23-05-30,2025-01-23T05:30:50.541Z,5027,54.61.184.19,3999,GET,502,/usr/admin/developer,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0"
16,2025-01-23-05-30,2025-01-23T05:30:49.933Z,4980,198.36.54.126,2767,POST,303,/usr/admin/developer,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
17,2025-01-23-05-30,2025-01-23T05:30:49.324Z,4920,137.204.239.17,246,POST,303,/usr/login,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36"
18,2025-01-23-23-00,2025-01-23T23:00:59.936Z,4992,181.41.71.38,730,DELETE,200,/usr/admin/developer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A"
19,2025-01-23-23-00,2025-01-23T23:00:59.330Z,4887,114.132.255.216,416,GET,200,/usr,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0
20,2025-01-23-23-00,2025-01-23T23:00:58.719Z,5024,14.140.55.113,1270,PUT,502,/usr/register,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1"
21,2025-01-23-23-00,2025-01-23T23:00:58.110Z,5059,199.98.15.151,437,POST,404,/usr/admin,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0
22,2025-01-23-23-00,2025-01-23T23:00:57.498Z,4937,42.166.94.6,1315,POST,404,/usr/login,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1"
23,2025-01-23-23-00,2025-01-23T23:00:56.892Z,4987,128.167.199.197,3909,PUT,403,/usr/login,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1"
24,2025-01-23-23-00,2025-01-23T23:00:56.283Z,5049,22.135.194.72,1938,PUT,502,/usr/login,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121"
25,2025-01-23-23-00,2025-01-23T23:00:55.675Z,5034,22.166.50.39,1604,POST,500,/usr,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0
26,2025-01-23-23-00,2025-01-23T23:00:55.069Z,4993,5.14.206.23,2359,POST,500,/usr/login,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0
27,2025-01-23-23-00,2025-01-23T23:00:54.462Z,4950,109.150.62.22,3495,PUT,502,/usr/register,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0"
28,2025-01-23-23-00,2025-01-23T23:00:53.850Z,4967,55.212.75.132,564,GET,304,/usr/register,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1"
29,2025-01-23-23-00,2025-01-23T23:00:53.243Z,5033,117.113.206.50,152,PUT,502,/usr/register,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0
30,2025-01-23-23-00,2025-01-23T23:00:52.637Z,4902,38.36.152.215,2488,PUT,200,/usr/login,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0"
31,2025-01-23-23-00,2025-01-23T23:00:52.029Z,5024,71.172.84.22,3848,GET,500,/usr,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0
32,2025-01-23-23-00,2025-01-23T23:00:51.423Z,4896,181.103.215.203,2774,DELETE,502,/usr/register,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0
33,2025-01-23-23-00,2025-01-23T23:00:50.816Z,5003,102.102.210.219,3667,GET,303,/usr/admin,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1"
34,2025-01-23-23-00,2025-01-23T23:00:50.209Z,5046,139.79.12.143,1024,GET,303,/usr/admin,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1"
35,2025-01-23-23-00,2025-01-23T23:00:49.603Z,5015,209.55.239.24,647,GET,500,/usr/admin/developer,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0
36,2025-01-23-23-00,2025-01-23T23:00:48.994Z,5001,189.122.114.179,3410,PUT,304,/usr/register,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329"
37,2025-01-23-23-00,2025-01-23T23:00:48.377Z,5080,101.183.221.155,397,GET,500,/usr,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0
38,2025-01-23-23-00,2025-01-23T23:00:47.771Z,5024,149.143.130.7,307,POST,502,/usr/admin,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0
39,2025-01-23-23-00,2025-01-23T23:00:47.165Z,5001,1.110.62.71,130,DELETE,502,/usr,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1"
40,2025-01-23-23-00,2025-01-23T23:00:46.558Z,5042,126.74.208.71,4670,PUT,500,/usr/admin,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1"
41,2025-01-23-23-00,2025-01-23T23:00:45.951Z,4938,89.2.216.240,126,GET,304,/usr/admin,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36"
42,2025-01-23-23-00,2025-01-23T23:00:45.343Z,5029,205.193.221.185,4723,GET,303,/usr/register,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0
43,2025-01-23-23-00,2025-01-23T23:00:44.735Z,4936,24.58.91.121,4507,DELETE,303,/usr/login,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749"
44,2025-01-23-23-00,2025-01-23T23:00:44.129Z,5001,23.129.157.147,3470,DELETE,200,/usr/admin/developer,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121"
